height,prop_time_lower_bound,node_count,size
1787984,0,1,2811
1787985,0,1,1979
1787986,0,1,94
1787987,0,1,12272
1787988,0,1,15779
1787989,0,1,7415
1787990,0,1,58462
1787991,0,1,94
1787992,0,1,94
1787993,0,1,13124
1787994,0,1,88335
1787995,0,1,65830
1787996,0,1,107350
1787997,0,1,4681
1787998,0,1,42849
1787999,0,1,4694
1788000,2302341,2,300735
1788001,0,1,75779
1788002,0,1,12467
1788003,0,1,94
1788004,0,1,200026
1788005,0,1,9076
1788006,0,1,19360
1788007,0,1,60138
1788008,0,1,24001
1788009,0,1,89070
1788010,0,1,94
1788011,0,1,12200
1788012,0,1,139939
1788013,0,1,103
1788014,0,1,9811
1788015,0,1,48674
1788016,0,1,94
1788017,0,1,74242
1788018,0,1,13306
1788019,0,1,166214
1788020,0,1,103
1788021,0,1,73458
1788022,0,1,1868
1788023,0,1,9740
1788024,0,1,70209
1788025,0,1,103
1788026,0,1,26792
1788027,0,1,2719
1788028,0,1,111270
1788029,0,1,27225
1788030,0,1,12610
1788031,0,1,94
1788032,0,1,19751
1788033,0,1,14786
1788034,0,1,46143
1788035,0,1,94
1788036,0,1,37717
1788037,0,1,103
1788038,0,1,20313
1788039,0,1,19810
1788040,0,1,16123
1788041,0,1,90
1788042,0,1,103
1788043,0,1,16665
1788044,0,1,13693
1788045,0,1,51335
1788046,0,1,50236
1788047,0,1,15745
1788048,0,1,56172
1788049,0,1,20972
1788050,0,1,29636
1788051,0,1,96734
1788052,0,1,4583
1788053,0,1,94
1788054,0,1,120143
1788055,0,1,12278
1788056,0,1,10573
1788057,0,1,47187
1788058,0,1,14507
1788059,0,1,168630
1788060,0,1,1869
1788061,0,1,21257
1788062,0,1,86073
1788063,0,1,1865
1788064,0,1,3751
1788065,0,1,15968
1788066,0,1,22491
1788067,0,1,103
1788068,0,1,32380
1788069,0,1,43917
1788070,0,1,12373
1788071,0,1,223660
1788072,0,1,126582
1788073,0,1,22702
1788074,0,1,4483
1788075,0,1,4579
1788076,0,1,15819
1788077,0,1,15234
1788078,0,1,32423
1788079,0,1,28122
1788080,0,1,9341
1788081,0,1,40113
1788082,0,1,93368
1788083,0,1,9784
1788084,0,1,49108
1788085,0,1,103
1788086,0,1,40056
1788087,0,1,6181
1788088,0,1,52404
1788089,0,1,16929
1788090,0,1,103866
1788091,0,1,159710
1788092,0,1,103
1788093,0,1,35022
1788094,0,1,59315
1788095,0,1,50198
1788096,0,1,2702
1788097,0,1,5412
1788098,0,1,10825
1788099,0,1,137046
1788100,0,1,94
1788101,0,1,15016
1788102,0,1,7037
1788103,0,1,300724
1788104,0,1,94
1788105,0,1,14986
1788106,0,1,38561
1788107,0,1,14154
1788108,0,1,15019
1788109,0,1,24520
1788110,0,1,7001
1788111,0,1,3642
1788112,0,1,54489
1788113,0,1,8808
1788114,0,1,39922
1788115,0,1,103
1788116,0,1,20436
1788117,0,1,41988
1788118,0,1,49288
1788119,0,1,1865
1788120,0,1,116812
1788121,0,1,4504
1788122,0,1,68468
1788123,0,1,45855
1788124,0,1,23658
1788125,0,1,16998
1788126,0,1,4469
1788127,0,1,35003
1788128,0,1,4471
1788129,0,1,94
